Name,Event,OlypQualTime,OlypRecord,Final,Heat,Semi,AvgTime,RelTime_OQT,RelTime_ORT,Podium,RelTime_OQT_LR
RYLOV Evgeny,Men's 100m Backstroke,3241,3145,3158,3202,3211,3190.333333,0.015881308,-0.014209591,1,1
KOLESNIKOV Kliment,Men's 100m Backstroke,3241,3145,3120,3135,3149,3134.666667,0.033921735,0.00329647,1,1
MURPHY Ryan,Men's 100m Backstroke,3241,3145,3139,3202,3144,3161.666667,0.025092251,-0.005271481,1,1
CECCON Thomas,Men's 100m Backstroke,3241,3145,3150,3169,3198,3172.333333,0.021645477,-0.008616161,0,1
XU Jiayu,Men's 100m Backstroke,3241,3145,3171,3190,3214,3191.666667,0.015456919,-0.01462141,0,1
GONZALEZ Hugo,Men's 100m Backstroke,3241,3145,3198,3225,3185,3202.666667,0.011969192,-0.018005828,0,1
LARKIN Mitch,Men's 100m Backstroke,3241,3145,3199,3217,3196,3204,0.011548065,-0.018414482,0,1
GLINTA Robert,Men's 100m Backstroke,3241,3145,3215,3247,3200,3220.666667,0.006313393,-0.023494101,0,1
ATAYEV Merdan,Men's 100m Backstroke,3241,3145,NA,3324,NA,3324,-0.024969916,-0.053850782,0,0
CASTILLO Gabriel,Men's 100m Backstroke,3241,3145,NA,3504,NA,3504,-0.075057078,-0.102454338,0,0
RASOLONJATOVO Heriniavo,Men's 100m Backstroke,3241,3145,NA,3621,NA,3621,-0.104943386,-0.131455399,0,0
STOKOWSKI Kacper,Men's 100m Backstroke,3241,3145,NA,3279,NA,3279,-0.011588899,-0.040866118,0,0
SANTOS Francisco Rogerio,Men's 100m Backstroke,3241,3145,NA,3275,NA,3275,-0.010381679,-0.039694656,0,0
CEJKA Jan,Men's 100m Backstroke,3241,3145,NA,3309,NA,3309,-0.020550015,-0.049561801,0,0
CARTER Dylan,Men's 100m Backstroke,3241,3145,NA,3322,NA,3322,-0.024382902,-0.053281156,0,0
LAITAROVSKY Michael,Men's 100m Backstroke,3241,3145,NA,3334,NA,3334,-0.027894421,-0.056688662,0,0
LEVTEROV Kaloyan,Men's 100m Backstroke,3241,3145,NA,3360,NA,3360,-0.035416667,-0.063988095,0,0
ULRICH Marek,Men's 100m Backstroke,3241,3145,NA,3254,3234,3244,-0.000924784,-0.030517879,0,0
BASSETO Guilherme,Men's 100m Backstroke,3241,3145,NA,3264,NA,3264,-0.007046569,-0.036458333,0,0
QUAH Zheng Wen,Men's 100m Backstroke,3241,3145,NA,3274,NA,3274,-0.010079414,-0.039401344,0,0
BRAUNSCHWEIG Ole,Men's 100m Backstroke,3241,3145,NA,3254,NA,3254,-0.003995083,-0.033497234,0,0
NATARAJ Srihari,Men's 100m Backstroke,3241,3145,NA,3271,NA,3271,-0.009171507,-0.03852033,0,0
TOUMARKIN Yakov,Men's 100m Backstroke,3241,3145,NA,3321,NA,3321,-0.02408913,-0.052996086,0,0
TSMYH Mikita,Men's 100m Backstroke,3241,3145,NA,3328,NA,3328,-0.026141827,-0.054987981,0,0
REITSHAMMER Bernhard,Men's 100m Backstroke,3241,3145,NA,3326,NA,3326,-0.025556224,-0.054419723,0,0
TOMAC Mewen,Men's 100m Backstroke,3241,3145,NA,3229,3242,3235.5,0.001699892,-0.027970947,0,1
GUIDO Guilherme,Men's 100m Backstroke,3241,3145,NA,3245,3260,3252.5,-0.003535742,-0.033051499,0,0
COOPER Isaac,Men's 100m Backstroke,3241,3145,NA,3253,3223,3238,0.000926498,-0.028721433,0,1
ARMSTRONG Joseph,Men's 100m Backstroke,3241,3145,NA,3257,3201,3229,0.003716321,-0.026014246,0,1
GREENBANK Luke,Men's 100m Backstroke,3241,3145,NA,3259,NA,3259,-0.005523167,-0.034980055,0,0
TELEGDY Adam,Men's 100m Backstroke,3241,3145,NA,3282,NA,3282,-0.012492383,-0.04174284,0,0
MARTIN Daniel,Men's 100m Backstroke,3241,3145,NA,3451,NA,3451,-0.060851927,-0.088669951,0,0
IRIE Ryosuke,Men's 100m Backstroke,3241,3145,NA,3219,3201,3210,0.009657321,-0.020249221,0,1
SABBIONI Simone,Men's 100m Backstroke,3241,3145,NA,3259,NA,3259,-0.005523167,-0.034980055,0,0
LEE Juho,Men's 100m Backstroke,3241,3145,NA,3264,NA,3264,-0.007046569,-0.036458333,0,0
COETZE Pieter,Men's 100m Backstroke,3241,3145,NA,3245,NA,3245,-0.001232666,-0.030816641,0,0
