Name,Event,Final,Heat,Semi,Podium,AvgTime
PENG Xuwei,Women's 100m Backstroke,NA,3618,3638,0,3628
PANZIERA Margherita,Women's 100m Backstroke,NA,3614,3615,0,3614.5
CHUPKOV Anton,Men's 100m Breaststroke,NA,3595,3633,0,3614
KAMENEVA Mariia,Women's 100m Backstroke,NA,3628,3589,0,3608.5
RUCK Taylor,Women's 100m Backstroke,NA,3629,3585,0,3607
SIDLAUSKAS Andrius,Men's 100m Breaststroke,NA,3586,3622,0,3604
POGGIO Federico,Men's 100m Breaststroke,NA,3573,3631,0,3602
MURA Ryuya,Men's 100m Breaststroke,NA,3580,3622,0,3601
GORBENKO Anastasia,Women's 100m Backstroke,3593,3630,3570,0,3600
PRIGODA Kirill,Men's 100m Breaststroke,NA,3608,3584,0,3596
LIMA Felipe,Men's 100m Breaststroke,NA,3557,3620,0,3588.5
SCHWINGENSCHLOGL Fabian,Men's 100m Breaststroke,NA,3589,3572,0,3580.5
MATZERATH Lucas Joachim,Men's 100m Breaststroke,NA,3580,3571,0,3575.5
ANDREW Michael,Men's 100m Breaststroke,3564,3542,3579,0,3560.5
SHYMANOVICH Ilya,Men's 100m Breaststroke,3576,3573,3548,0,3560.5
WILBY James,Men's 100m Breaststroke,3576,3579,3540,0,3559.5
TOUSSAINT Kira,Women's 100m Backstroke,3551,3561,3549,0,3555
YAN Zibei,Men's 100m Breaststroke,3579,3555,3552,0,3553.5
SEEBOHM Emily,Women's 100m Backstroke,3525,3566,3539,0,3552.5
WILSON Andrew,Men's 100m Breaststroke,3579,3543,3558,0,3550.5
DAWSON Kathleen,Women's 100m Backstroke,3550,3549,3536,0,3542.5
WHITE Rhyan Elizabeth,Women's 100m Backstroke,3523,3542,3526,0,3534
MARTINENGHI Nicolo,Men's 100m Breaststroke,3513,3548,3508,1,3528
SMITH Regan,Women's 100m Backstroke,3485,3516,3506,1,3511
KAMMINGA Arno,Men's 100m Breaststroke,3480,3500,3499,1,3499.5
McKEOWN Kaylee,Women's 100m Backstroke,3467,3508,3491,1,3499.5
MASSE Kylie,Women's 100m Backstroke,3492,3497,3489,1,3493
BIANCHI Ilaria,Women's 100m Butterfly,NA,3490,3487,0,3488.5
SURKOVA Arina,Women's 100m Butterfly,NA,3482,3492,0,3487
THROSSELL Brianna,Women's 100m Butterfly,NA,3488,3479,0,3483.5
SAVARD Katerine,Women's 100m Butterfly,NA,3471,3490,0,3480.5
PEATY Adam,Men's 100m Breaststroke,3457,3476,3483,1,3479.5
CHIMROVA Svetlana,Women's 100m Butterfly,NA,3484,3474,0,3479
di LIDDO Elena,Women's 100m Butterfly,NA,3461,3480,0,3470.5
NTOUNTOUNAKI Anna,Women's 100m Butterfly,NA,3495,3445,0,3470
CURZAN Claire,Women's 100m Butterfly,NA,3469,3462,0,3465.5
HANSSON Louise,Women's 100m Butterfly,3382,3457,3452,0,3454.5
SHKURDAI Anastasiya,Women's 100m Butterfly,3425,3459,3439,0,3449
MACNEIL Margaret,Women's 100m Butterfly,3359,3415,3416,1,3415.5
WATTEL Marie,Women's 100m Butterfly,3387,3428,3376,0,3402
HUSKE Torri,Women's 100m Butterfly,3373,3389,3411,0,3400
SJOESTROEM Sarah,Women's 100m Butterfly,3451,3378,3400,0,3389
McKEON Emma,Women's 100m Butterfly,3372,3382,3393,1,3387.5
ZHANG Yufei,Women's 100m Butterfly,3364,3382,3389,1,3385.5
WU Qingfeng,Women's 100m Freestyle,NA,3267,3326,0,3296.5
GUIDO Guilherme,Men's 100m Backstroke,NA,3245,3260,0,3252.5
BROWN Erika,Women's 100m Freestyle,NA,3267,3238,0,3252.5
BONNET Charlotte,Women's 100m Freestyle,NA,3247,3250,0,3248.5
ULRICH Marek,Men's 100m Backstroke,NA,3254,3234,0,3244
COLEMAN Michelle,Women's 100m Freestyle,NA,3233,3253,0,3243
CHRISTOU Apostolos,Men's 100m Backstroke,NA,3257,3221,0,3239
COOPER Isaac,Men's 100m Backstroke,NA,3253,3223,0,3238
ANDERSON Freya,Women's 100m Freestyle,NA,3241,3233,0,3237
TOMAC Mewen,Men's 100m Backstroke,NA,3229,3242,0,3235.5
BRO Signe,Women's 100m Freestyle,NA,3234,3235,0,3234.5
ARMSTRONG Joseph,Men's 100m Backstroke,NA,3257,3201,0,3229
GLINTA Robert,Men's 100m Backstroke,3215,3247,3200,0,3223.5
WATTEL Marie,Women's 100m Freestyle,NA,3251,3192,0,3221.5
BLUME Pernille,Women's 100m Freestyle,NA,3216,3206,0,3211
OLEKSIAK Penny,Women's 100m Freestyle,NA,3215,3206,0,3210.5
IRIE Ryosuke,Men's 100m Backstroke,NA,3219,3201,0,3210
WEITZEIL Abbey,Women's 100m Freestyle,NA,3201,3219,0,3210
RYLOV Evgeny,Men's 100m Backstroke,3158,3202,3211,1,3206.5
LARKIN Mitch,Men's 100m Backstroke,3199,3217,3196,0,3206.5
SJOESTROEM Sarah,Women's 100m Freestyle,NA,3211,3202,0,3206.5
GONZALEZ Hugo,Men's 100m Backstroke,3198,3225,3185,0,3205
XU Jiayu,Men's 100m Backstroke,3171,3190,3214,0,3202
HEEMSKERK Femke,Women's 100m Freestyle,NA,3190,3213,0,3201.5
CAMPBELL Cate,Women's 100m Freestyle,NA,3200,3191,0,3195.5
HOPKIN Anna,Women's 100m Freestyle,NA,3195,3191,0,3193
CECCON Thomas,Men's 100m Backstroke,3150,3169,3198,0,3183.5
HAUGHEY Siobhan Bernadette,Women's 100m Freestyle,NA,3190,3160,0,3175
MURPHY Ryan,Men's 100m Backstroke,3139,3202,3144,1,3173
McKEON Emma,Women's 100m Freestyle,NA,3133,3152,0,3142.5
KOLESNIKOV Kliment,Men's 100m Backstroke,3120,3135,3149,1,3142
SUN Jiajun,Men's 100m Butterfly,NA,3134,3142,0,3138
SZABO Szebasztian,Men's 100m Butterfly,NA,3127,3149,0,3138
SHIELDS Tom,Men's 100m Butterfly,NA,3117,3159,0,3138
RAMADAN Youssef,Men's 100m Butterfly,NA,3127,3147,0,3137
KORSTANJE Nyls,Men's 100m Butterfly,NA,3114,3140,0,3127
MIZUNUMA Naoki,Men's 100m Butterfly,NA,3117,3106,0,3111.5
LIENDO EDWARDS Joshua,Men's 100m Butterfly,NA,3112,3110,0,3111
METELLA Mehdy,Men's 100m Butterfly,NA,3113,3092,0,3102.5
MAJERSKI Jakub,Men's 100m Butterfly,3092,3097,3084,0,3090.5
MARTINEZ Luis Carlos,Men's 100m Butterfly,3069,3089,3090,0,3089.5
TEMPLE Matthew,Men's 100m Butterfly,3092,3099,3072,0,3085.5
PONTI Noe,Men's 100m Butterfly,3074,3084,3076,1,3080
MILADINOV Josif,Men's 100m Butterfly,3109,3088,3066,0,3077
MINAKOV Andrei,Men's 100m Butterfly,3088,3060,3071,0,3065.5
MILAK Kristof,Men's 100m Butterfly,3008,3062,3031,1,3046.5
DRESSEL Caeleb,Men's 100m Butterfly,2985,3039,3011,1,3025
MITYUKOV Roman,Men's 100m Freestyle,NA,2923,2933,0,2928
BARNA Andrej,Men's 100m Freestyle,NA,2910,2914,0,2912
WHITTLE Jacob,Men's 100m Freestyle,NA,2924,2891,0,2907.5
LIENDO EDWARDS Joshua,Men's 100m Freestyle,NA,2914,2899,0,2906.5
GROUSSET Maxime,Men's 100m Freestyle,2892,2905,2902,0,2903.5
KISIL Yuri,Men's 100m Freestyle,NA,2895,2911,0,2903
CHALMERS Kyle,Men's 100m Freestyle,2828,2897,2900,1,2898.5
HWANG Sunwoo,Men's 100m Freestyle,2902,2917,2876,0,2896.5
NEMETH Nandor,Men's 100m Freestyle,2890,2891,2901,0,2896
APPLE Zach,Men's 100m Freestyle,NA,2896,2884,0,2890
CECCON Thomas,Men's 100m Freestyle,NA,2891,2885,0,2888
MIRESSI Alessandro,Men's 100m Freestyle,2906,2903,2872,0,2887.5
POPOVICI David,Men's 100m Freestyle,2884,2883,2892,0,2887.5
MINAKOV Andrei,Men's 100m Freestyle,NA,2880,2883,0,2881.5
KOLESNIKOV Kliment,Men's 100m Freestyle,2864,2909,2831,1,2870
DRESSEL Caeleb,Men's 100m Freestyle,2822,2893,2843,1,2868
WILD Cassie,Women's 100m Backstroke,NA,3639,60.2,0,1849.6
FESIKOVA Anastasiia,Women's 100m Backstroke,NA,3632,60.2,0,1846.1
TEIJONSALO Fanny,Women's 50m Freestyle,NA,1519,1531,0,1525
JENSEN Julie Kepp,Women's 50m Freestyle,NA,1510,1538,0,1524
WATTEL Marie,Women's 50m Freestyle,NA,1522,1516,0,1519
HENIQUE Melanie,Women's 50m Freestyle,NA,1509,1503,0,1506
CHELIUS Emma,Women's 50m Freestyle,NA,1505,1504,0,1504.5
MANUEL Simone,Women's 50m Freestyle,NA,1505,1503,0,1504
SURKOVA Arina,Women's 50m Freestyle,NA,1492,1497,0,1494.5
WU Qingfeng,Women's 50m Freestyle,1472,1495,1472,0,1483.5
KROMOWIDJOJO Ranomi,Women's 50m Freestyle,1470,1481,1469,0,1475
ZHANG Yufei,Women's 50m Freestyle,NA,1476,1472,0,1474
WASICK Katarzyna,Women's 50m Freestyle,1472,1471,1466,0,1468.5
WEITZEIL Abbey,Women's 50m Freestyle,1481,1477,1459,0,1468
CAMPBELL Cate,Women's 50m Freestyle,1476,1455,1467,0,1461
SJOESTROEM Sarah,Women's 50m Freestyle,1447,1466,1453,1,1459.5
BLUME Pernille,Women's 50m Freestyle,1461,1452,1448,1,1450
McKEON Emma,Women's 50m Freestyle,1461,1442,1440,1,1441
JURASZEK Pawel,Men's 50m Freestyle,NA,1357,1348,0,1352.5
GROUSSET Maxime,Men's 50m Freestyle,NA,1357,1347,0,1352
MESTRE Alberto,Men's 50m Freestyle,NA,1356,1342,0,1349
MOROZOV Vladimir,Men's 50m Freestyle,NA,1352,1345,0,1348.5
PUTS Jesse,Men's 50m Freestyle,NA,1344,1347,0,1345.5
KOLESNIKOV Kliment,Men's 50m Freestyle,NA,1348,1342,0,1345
HAYDEN Brent,Men's 50m Freestyle,NA,1345,1342,0,1343.5
ZAZZERI Lorenzo,Men's 50m Freestyle,1338,1346,1335,0,1340.5
PROUD Benjamin,Men's 50m Freestyle,1332,1353,1327,0,1340
ANDREW Michael,Men's 50m Freestyle,1320,1349,1327,0,1338
BUKHOV Vladyslav,Men's 50m Freestyle,NA,1333,1343,0,1338
de BOER Thom,Men's 50m Freestyle,1339,1335,1338,0,1336.5
FRATUS Bruno,Men's 50m Freestyle,1317,1327,1320,1,1323.5
GKOLOMEEV Kristian,Men's 50m Freestyle,1332,1326,1320,0,1323
MANAUDOU Florent,Men's 50m Freestyle,1315,1325,1313,1,1319
DRESSEL Caeleb,Men's 50m Freestyle,1267,1292,1302,1,1297
FANGIO Francesca,Women's 200m Breaststroke,NA,143.89,147.56,0,145.725
MAMIE Lisa,Women's 200m Breaststroke,NA,143.91,145.11,0,144.51
VALL MONTERO Jessica,Women's 200m Breaststroke,NA,143.31,144.87,0,144.09
HANSSON Sophie,Women's 200m Breaststroke,NA,143.82,144.28,0,144.05
YU Jingyao,Women's 200m Breaststroke,NA,143.17,144.76,0,143.965
TEMNIKOVA Mariia,Women's 200m Breaststroke,NA,143.13,144.69,0,143.91
STRAUCH Jenna,Women's 200m Breaststroke,NA,143.3,144.25,0,143.775
LECLUYSE Fanny,Women's 200m Breaststroke,144.57,143.42,143.73,0,143.575
WOOD Abbie,Women's 200m Breaststroke,143.72,144.13,142.35,0,143.24
RENSHAW Molly,Women's 200m Breaststroke,142.65,142.99,142.7,0,142.845
LAZOR Annie,Women's 200m Breaststroke,140.84,142.76,141.94,1,142.35
CORBETT Kaylene,Women's 200m Breaststroke,142.06,142.48,142.08,0,142.28
KING Lilly,Women's 200m Breaststroke,139.92,142.1,142.27,1,142.185
CHIKUNOVA Evgeniia,Women's 200m Breaststroke,140.88,142.16,140.57,0,141.365
SCHOENMAKER Tatjana,Women's 200m Breaststroke,138.95,139.16,139.33,1,139.245
van ROUWENDAAL Sharon,Women's 200m Backstroke,NA,131.24,132.98,0,132.11
BARZELAY Aviv,Women's 200m Backstroke,NA,131.13,132.93,0,132.03
BERNAT Laura,Women's 200m Backstroke,NA,130.37,132.86,0,131.615
ZAMORANO SANZ Africa,Women's 200m Backstroke,NA,130.72,130.42,0,130.57
SIDLAUSKAS Andrius,Men's 200m Breaststroke,NA,129.56,130.69,0,130.125
SALCUTAN Tatiana,Women's 200m Backstroke,NA,129.98,130.09,0,130.035
EPITROPOV Lyubomir,Men's 200m Breaststroke,NA,129.68,130.33,0,130.005
MURDOCH Ross,Men's 200m Breaststroke,NA,129.95,129.97,0,129.96
GRABOWSKI Lena,Women's 200m Backstroke,NA,129.77,130.1,0,129.935
PANZIERA Margherita,Women's 200m Backstroke,NA,130.26,129.54,0,129.9
VIQUERAT Antoine,Men's 200m Breaststroke,NA,129.54,129.97,0,129.755
WILSON Matthew,Men's 200m Breaststroke,NA,129.29,130.1,0,129.695
BURIAN Katalin,Women's 200m Backstroke,NA,129.1,129.65,0,129.375
SATO Shoma,Men's 200m Breaststroke,NA,129.43,129.04,0,129.235
BALANDIN Dmitriy,Men's 200m Breaststroke,NA,128.99,129.22,0,129.105
PRIGODA Kirill,Men's 200m Breaststroke,NA,129.21,128.88,0,129.045
PENG Xuwei,Women's 200m Backstroke,128.26,129.03,128.76,0,128.895
WILBY James,Men's 200m Breaststroke,128.19,129.7,127.91,0,128.805
RUCK Taylor,Women's 200m Backstroke,128.24,128.87,128.73,0,128.8
PERSSON Erik,Men's 200m Breaststroke,128.88,128.76,128.76,0,128.76
MURA Ryuya,Men's 200m Breaststroke,128.42,129,128.27,0,128.635
CHUPKOV Anton,Men's 200m Breaststroke,127.24,128.54,128.54,0,128.54
LIU Yaxin,Women's 200m Backstroke,128.48,128.36,128.65,0,128.505
MATTSSON Matti,Men's 200m Breaststroke,127.13,128.44,128.22,1,128.33
FINK Nic,Men's 200m Breaststroke,127.93,128.48,128,0,128.24
SEEBOHM Emily,Women's 200m Backstroke,126.17,129.1,127.09,1,128.095
McKEOWN Kaylee,Women's 200m Backstroke,124.68,128.18,127.93,1,128.055
MASSE Kylie,Women's 200m Backstroke,125.42,128.23,127.82,1,128.025
WHITE Rhyan Elizabeth,Women's 200m Backstroke,126.39,128.23,127.28,0,127.755
BACON Phoebe,Women's 200m Backstroke,126.4,128.3,127.1,0,127.7
KAMMINGA Arno,Men's 200m Breaststroke,127.01,127.37,127.99,1,127.68
STUBBLETY-COOK Izaac,Men's 200m Breaststroke,126.38,127.37,127.35,1,127.36
SALAMATINA Valeriia,Women's 200m Freestyle,NA,118.33,118.98,0,118.655
THORMEYER Markus,Men's 200m Backstroke,NA,117.85,119.36,0,118.605
FAIRWEATHER Erika,Women's 200m Freestyle,NA,117.26,119.14,0,118.2
WILLIAMS Brodie Paul,Men's 200m Backstroke,NA,117.48,117.73,0,117.605
NDOYE-BROUARD Yohann,Men's 200m Backstroke,NA,117.96,116.83,0,117.395
BRUHN Annika,Women's 200m Freestyle,NA,117.15,117.62,0,117.385
MITYUKOV Roman,Men's 200m Backstroke,NA,117.45,117.07,0,117.26
SUNAMA Keita,Men's 200m Backstroke,NA,117.07,117.16,0,117.115
BONNET Charlotte,Women's 200m Freestyle,NA,116.88,117.35,0,117.115
HOLLARD Tristan,Men's 200m Backstroke,NA,117.24,116.92,0,117.08
ANDERSON Freya,Women's 200m Freestyle,NA,116.96,117.1,0,117.03
GARCIA SAIZ Nicolas,Men's 200m Backstroke,119.06,117.62,116.35,0,116.985
SCHMITT Allison,Women's 200m Freestyle,NA,117.1,116.87,0,116.985
TELEGDY Adam,Men's 200m Backstroke,116.15,117.7,116.19,0,116.945
TARASEVICH Grigory,Men's 200m Backstroke,NA,116.82,117.06,0,116.94
GOSE Isabel,Women's 200m Freestyle,NA,116.8,117.07,0,116.935
PELLEGRINI Federica,Women's 200m Freestyle,115.91,117.33,116.44,0,116.885
LEE Juho,Men's 200m Backstroke,NA,116.77,116.93,0,116.85
IRIE Ryosuke,Men's 200m Backstroke,117.32,116.97,116.69,0,116.83
KAWECKI Radoslaw,Men's 200m Backstroke,116.39,116.83,116.68,0,116.755
McINTOSH Summer,Women's 200m Freestyle,NA,116.11,116.82,0,116.465
MEFFORD Bryce,Men's 200m Backstroke,115.49,116.37,116.37,0,116.37
SEEMANOVA Barbora,Women's 200m Freestyle,115.45,116.38,116.14,0,116.26
CROENEN Louis,Men's 200m Butterfly,NA,115.78,116.67,0,116.225
WILSON Madison,Women's 200m Freestyle,116.39,115.87,116.58,0,116.225
MURPHY Ryan,Men's 200m Backstroke,114.15,116.92,115.38,1,116.15
YANG Junxuan,Women's 200m Freestyle,115.01,116.17,115.98,0,116.075
OLEKSIAK Penny,Women's 200m Freestyle,114.7,115.38,116.39,1,115.885
HAUGHEY Siobhan Bernadette,Women's 200m Freestyle,113.92,116.48,115.16,1,115.82
MARCHAND Leon,Men's 200m Butterfly,NA,115.85,115.68,0,115.765
