Name,Event,Final,Heat,Semi,RoundsCompare,Time
RYLOV Evgeny,Men's 100m Backstroke,3158,3202,3211,SemitoFinal,0.0165057614450327
RYLOV Evgeny,Men's 100m Backstroke,3158,3202,3211,HeattoFinal,0.013741411617738912
KOLESNIKOV Kliment,Men's 100m Backstroke,3120,3135,3149,SemitoFinal,0.009209272785011114
KOLESNIKOV Kliment,Men's 100m Backstroke,3120,3135,3149,HeattoFinal,0.004784688995215311
MURPHY Ryan,Men's 100m Backstroke,3139,3202,3144,SemitoFinal,0.0015903307888040711
MURPHY Ryan,Men's 100m Backstroke,3139,3202,3144,HeattoFinal,0.01967520299812617
CECCON Thomas,Men's 100m Backstroke,3150,3169,3198,SemitoFinal,0.0150093808630394
CECCON Thomas,Men's 100m Backstroke,3150,3169,3198,HeattoFinal,0.005995582202587567
XU Jiayu,Men's 100m Backstroke,3171,3190,3214,SemitoFinal,0.013378967019290604
XU Jiayu,Men's 100m Backstroke,3171,3190,3214,HeattoFinal,0.0059561128526645765
GONZALEZ Hugo,Men's 100m Backstroke,3198,3225,3185,SemitoFinal,-0.004081632653061225
GONZALEZ Hugo,Men's 100m Backstroke,3198,3225,3185,HeattoFinal,0.008372093023255815
LARKIN Mitch,Men's 100m Backstroke,3199,3217,3196,SemitoFinal,-9.386733416770963e-4
LARKIN Mitch,Men's 100m Backstroke,3199,3217,3196,HeattoFinal,0.005595275101025801
GLINTA Robert,Men's 100m Backstroke,3215,3247,3200,SemitoFinal,-0.0046875
GLINTA Robert,Men's 100m Backstroke,3215,3247,3200,HeattoFinal,0.00985525100092393
DRESSEL Caeleb,Men's 100m Butterfly,2985,3039,3011,SemitoFinal,0.008635004981733644
DRESSEL Caeleb,Men's 100m Butterfly,2985,3039,3011,HeattoFinal,0.017769002961500493
MILAK Kristof,Men's 100m Butterfly,3008,3062,3031,SemitoFinal,0.007588254701418674
MILAK Kristof,Men's 100m Butterfly,3008,3062,3031,HeattoFinal,0.017635532331809273
PONTI Noe,Men's 100m Butterfly,3074,3084,3076,SemitoFinal,6.501950585175553e-4
PONTI Noe,Men's 100m Butterfly,3074,3084,3076,HeattoFinal,0.00324254215304799
MINAKOV Andrei,Men's 100m Butterfly,3088,3060,3071,SemitoFinal,-0.005535656138065777
MINAKOV Andrei,Men's 100m Butterfly,3088,3060,3071,HeattoFinal,-0.009150326797385621
MAJERSKI Jakub,Men's 100m Butterfly,3092,3097,3084,SemitoFinal,-0.0025940337224383916
MAJERSKI Jakub,Men's 100m Butterfly,3092,3097,3084,HeattoFinal,0.0016144656118824668
TEMPLE Matthew,Men's 100m Butterfly,3092,3099,3072,SemitoFinal,-0.006510416666666667
TEMPLE Matthew,Men's 100m Butterfly,3092,3099,3072,HeattoFinal,0.002258793159083575
MARTINEZ Luis Carlos,Men's 100m Butterfly,3069,3089,3090,SemitoFinal,0.006796116504854369
MARTINEZ Luis Carlos,Men's 100m Butterfly,3069,3089,3090,HeattoFinal,0.006474587245063127
MILADINOV Josif,Men's 100m Butterfly,3109,3088,3066,SemitoFinal,-0.014024787997390736
MILADINOV Josif,Men's 100m Butterfly,3109,3088,3066,HeattoFinal,-0.006800518134715026
PEATY Adam,Men's 100m Breaststroke,3457,3476,3483,SemitoFinal,0.007464829170255527
PEATY Adam,Men's 100m Breaststroke,3457,3476,3483,HeattoFinal,0.005466052934407365
KAMMINGA Arno,Men's 100m Breaststroke,3480,3500,3499,SemitoFinal,0.0054301228922549296
KAMMINGA Arno,Men's 100m Breaststroke,3480,3500,3499,HeattoFinal,0.005714285714285714
MARTINENGHI Nicolo,Men's 100m Breaststroke,3513,3548,3508,SemitoFinal,-0.0014253135689851768
MARTINENGHI Nicolo,Men's 100m Breaststroke,3513,3548,3508,HeattoFinal,0.009864712514092447
ANDREW Michael,Men's 100m Breaststroke,3564,3542,3579,SemitoFinal,0.004191114836546521
ANDREW Michael,Men's 100m Breaststroke,3564,3542,3579,HeattoFinal,-0.006211180124223602
WILBY James,Men's 100m Breaststroke,3576,3579,3540,SemitoFinal,-0.010169491525423728
WILBY James,Men's 100m Breaststroke,3576,3579,3540,HeattoFinal,8.382229673093043e-4
YAN Zibei,Men's 100m Breaststroke,3579,3555,3552,SemitoFinal,-0.007601351351351352
YAN Zibei,Men's 100m Breaststroke,3579,3555,3552,HeattoFinal,-0.006751054852320675
WILSON Andrew,Men's 100m Breaststroke,3579,3543,3558,SemitoFinal,-0.005902192242833052
WILSON Andrew,Men's 100m Breaststroke,3579,3543,3558,HeattoFinal,-0.010160880609652836
SHYMANOVICH Ilya,Men's 100m Breaststroke,3576,3573,3548,SemitoFinal,-0.007891770011273957
SHYMANOVICH Ilya,Men's 100m Breaststroke,3576,3573,3548,HeattoFinal,-8.396305625524769e-4
DRESSEL Caeleb,Men's 100m Freestyle,2822,2893,2843,SemitoFinal,0.007386563489271896
DRESSEL Caeleb,Men's 100m Freestyle,2822,2893,2843,HeattoFinal,0.024541997926028344
CHALMERS Kyle,Men's 100m Freestyle,2828,2897,2900,SemitoFinal,0.02482758620689655
CHALMERS Kyle,Men's 100m Freestyle,2828,2897,2900,HeattoFinal,0.023817742492233344
KOLESNIKOV Kliment,Men's 100m Freestyle,2864,2909,2831,SemitoFinal,-0.011656658424584953
KOLESNIKOV Kliment,Men's 100m Freestyle,2864,2909,2831,HeattoFinal,0.015469233413544173
GROUSSET Maxime,Men's 100m Freestyle,2892,2905,2902,SemitoFinal,0.0034458993797381117
GROUSSET Maxime,Men's 100m Freestyle,2892,2905,2902,HeattoFinal,0.004475043029259896
HWANG Sunwoo,Men's 100m Freestyle,2902,2917,2876,SemitoFinal,-0.009040333796940195
HWANG Sunwoo,Men's 100m Freestyle,2902,2917,2876,HeattoFinal,0.005142269454919438
MIRESSI Alessandro,Men's 100m Freestyle,2906,2903,2872,SemitoFinal,-0.011838440111420613
MIRESSI Alessandro,Men's 100m Freestyle,2906,2903,2872,HeattoFinal,-0.0010334137099552187
POPOVICI David,Men's 100m Freestyle,2884,2883,2892,SemitoFinal,0.0027662517289073307
POPOVICI David,Men's 100m Freestyle,2884,2883,2892,HeattoFinal,-3.46860908775581e-4
NEMETH Nandor,Men's 100m Freestyle,2890,2891,2901,SemitoFinal,0.003791795932437091
NEMETH Nandor,Men's 100m Freestyle,2890,2891,2901,HeattoFinal,3.459010722933241e-4
RYLOV Evgeny,Men's 200m Backstroke,113.27000000000001,116.02000000000001,114.45,SemitoFinal,0.010310179117518503
RYLOV Evgeny,Men's 200m Backstroke,113.27000000000001,116.02000000000001,114.45,HeattoFinal,0.0237028098603689
MURPHY Ryan,Men's 200m Backstroke,114.15,116.92,115.38,SemitoFinal,0.010660426417056595
MURPHY Ryan,Men's 200m Backstroke,114.15,116.92,115.38,HeattoFinal,0.023691412931919228
GREENBANK Luke,Men's 200m Backstroke,114.72,114.63,114.97999999999999,SemitoFinal,0.0022612628283178895
GREENBANK Luke,Men's 200m Backstroke,114.72,114.63,114.97999999999999,HeattoFinal,-7.851347814708489e-4
MEFFORD Bryce,Men's 200m Backstroke,115.49000000000001,116.37,116.37,SemitoFinal,0.007562086448397314
MEFFORD Bryce,Men's 200m Backstroke,115.49000000000001,116.37,116.37,HeattoFinal,0.007562086448397314
TELEGDY Adam,Men's 200m Backstroke,116.15,117.7,116.19,SemitoFinal,3.442637059987266e-4
TELEGDY Adam,Men's 200m Backstroke,116.15,117.7,116.19,HeattoFinal,0.013169073916737445
KAWECKI Radoslaw,Men's 200m Backstroke,116.39,116.83,116.68,SemitoFinal,0.0024854302365444484
KAWECKI Radoslaw,Men's 200m Backstroke,116.39,116.83,116.68,HeattoFinal,0.00376615595309422
IRIE Ryosuke,Men's 200m Backstroke,117.32,116.97,116.69,SemitoFinal,-0.00539892021595677
IRIE Ryosuke,Men's 200m Backstroke,117.32,116.97,116.69,HeattoFinal,-0.0029922202274086885
GARCIA SAIZ Nicolas,Men's 200m Backstroke,119.06,117.62,116.35,SemitoFinal,-0.023291792006875877
GARCIA SAIZ Nicolas,Men's 200m Backstroke,119.06,117.62,116.35,HeattoFinal,-0.01224281584764494
MILAK Kristof,Men's 200m Butterfly,111.25,113.58,112.22,SemitoFinal,0.008643735519515227
MILAK Kristof,Men's 200m Butterfly,111.25,113.58,112.22,HeattoFinal,0.02051417503081527
HONDA Tomoru,Men's 200m Butterfly,113.72999999999999,115.1,115.31,SemitoFinal,0.013702194085508736
HONDA Tomoru,Men's 200m Butterfly,113.72999999999999,115.1,115.31,HeattoFinal,0.011902693310165115
BURDISSO Federico,Men's 200m Butterfly,114.45,115.14,115.11,SemitoFinal,0.005733646077664812
BURDISSO Federico,Men's 200m Butterfly,114.45,115.14,115.11,HeattoFinal,0.005992704533611236
KENDERESI Tamas,Men's 200m Butterfly,114.52000000000001,115.18,115.17,SemitoFinal,0.005643830858730498
KENDERESI Tamas,Men's 200m Butterfly,114.52000000000001,115.18,115.17,HeattoFinal,0.005730161486369132
le CLOS Chad,Men's 200m Butterfly,114.93,115.96000000000001,115.06,SemitoFinal,0.0011298452981052967
le CLOS Chad,Men's 200m Butterfly,114.93,115.96000000000001,115.06,HeattoFinal,0.008882373232149026
de DEUS Leonardo,Men's 200m Butterfly,115.19,114.83,114.97,SemitoFinal,-0.0019135426633034606
de DEUS Leonardo,Men's 200m Butterfly,115.19,114.83,114.97,HeattoFinal,-0.0031350692327788855
BENTZ Gunnar,Men's 200m Butterfly,115.46000000000001,115.46000000000001,115.28,SemitoFinal,-0.0015614156835531473
BENTZ Gunnar,Men's 200m Butterfly,115.46000000000001,115.46000000000001,115.28,HeattoFinal,0
CHMIELEWSKI Krzysztof,Men's 200m Butterfly,115.88,115.77000000000001,115.28999999999999,SemitoFinal,-0.005117529707693672
CHMIELEWSKI Krzysztof,Men's 200m Butterfly,115.88,115.77000000000001,115.28999999999999,HeattoFinal,-9.501597996025327e-4
STUBBLETY-COOK Izaac,Men's 200m Breaststroke,126.38,127.37,127.35,SemitoFinal,0.00761680408323517
STUBBLETY-COOK Izaac,Men's 200m Breaststroke,126.38,127.37,127.35,HeattoFinal,0.0077726309177986105
KAMMINGA Arno,Men's 200m Breaststroke,127.01,127.37,127.99,SemitoFinal,0.007656848191264863
KAMMINGA Arno,Men's 200m Breaststroke,127.01,127.37,127.99,HeattoFinal,0.002826411242835828
MATTSSON Matti,Men's 200m Breaststroke,127.13,128.44,128.22,SemitoFinal,0.00850101388238967
MATTSSON Matti,Men's 200m Breaststroke,127.13,128.44,128.22,HeattoFinal,0.010199314855185318
CHUPKOV Anton,Men's 200m Breaststroke,127.24,128.54,128.54,SemitoFinal,0.01011358332036718
CHUPKOV Anton,Men's 200m Breaststroke,127.24,128.54,128.54,HeattoFinal,0.01011358332036718
FINK Nic,Men's 200m Breaststroke,127.93,128.48,128,SemitoFinal,5.468749999999467e-4
FINK Nic,Men's 200m Breaststroke,127.93,128.48,128,HeattoFinal,0.004280821917808087
