Name,Event,Final,Heat,Semi,AvgTime,SDTime
ANDREW Michael,Men's 100m Breaststroke,3564,3542,3579,3560.5,26.1629509
ANDREW Michael,Men's 50m Freestyle,1320,1349,1327,1338,15.55634919
BACON Phoebe,Women's 200m Backstroke,126.4,128.3,127.1,127.7,0.848528137
BENTZ Gunnar,Men's 200m Butterfly,115.46,115.46,115.28,115.37,0.127279221
BLUME Pernille,Women's 50m Freestyle,1461,1452,1448,1450,2.828427125
BURDISSO Federico,Men's 200m Butterfly,114.45,115.14,115.11,115.125,0.021213203
CAMPBELL Cate,Women's 50m Freestyle,1476,1455,1467,1461,8.485281374
CARRARO Martina,Women's 100m Breaststroke,66.19,65.85,66.5,66.175,0.459619408
CECCON Thomas,Men's 100m Backstroke,3150,3169,3198,3183.5,20.50609665
CHALMERS Kyle,Men's 100m Freestyle,2828,2897,2900,2898.5,2.121320344
CHIKUNOVA Evgeniia,Women's 100m Breaststroke,65.9,66.16,66.47,66.315,0.219203102
CHIKUNOVA Evgeniia,Women's 200m Breaststroke,140.88,142.16,140.57,141.365,1.124299782
CHMIELEWSKI Krzysztof,Men's 200m Butterfly,115.88,115.77,115.29,115.53,0.339411255
CHUPKOV Anton,Men's 200m Breaststroke,127.24,128.54,128.54,128.54,0
CORBETT Kaylene,Women's 200m Breaststroke,142.06,142.48,142.08,142.28,0.282842712
DAWSON Kathleen,Women's 100m Backstroke,3550,3549,3536,3542.5,9.192388155
de BOER Thom,Men's 50m Freestyle,1339,1335,1338,1336.5,2.121320344
de DEUS Leonardo,Men's 200m Butterfly,115.19,114.83,114.97,114.9,0.098994949
DEAN Tom,Men's 200m Freestyle,104.22,105.24,105.34,105.29,0.070710678
DRESSEL Caeleb,Men's 100m Butterfly,2985,3039,3011,3025,19.79898987
DRESSEL Caeleb,Men's 100m Freestyle,2822,2893,2843,2868,35.35533906
DRESSEL Caeleb,Men's 50m Freestyle,1267,1292,1302,1297,7.071067812
EFIMOVA Yuliya,Women's 100m Breaststroke,66.02,66.21,66.34,66.275,0.091923882
FINK Nic,Men's 200m Breaststroke,127.93,128.48,128,128.24,0.339411255
FRATUS Bruno,Men's 50m Freestyle,1317,1327,1320,1323.5,4.949747468
GARCIA SAIZ Nicolas,Men's 200m Backstroke,119.06,117.62,116.35,116.985,0.898025612
GKOLOMEEV Kristian,Men's 50m Freestyle,1332,1326,1320,1323,4.242640687
GLINTA Robert,Men's 100m Backstroke,3215,3247,3200,3223.5,33.23401872
GONZALEZ Hugo,Men's 100m Backstroke,3198,3225,3185,3205,28.28427125
GORBENKO Anastasia,Women's 100m Backstroke,3593,3630,3570,3600,42.42640687
GREENBANK Luke,Men's 200m Backstroke,114.72,114.63,114.98,114.805,0.247487373
GROUSSET Maxime,Men's 100m Freestyle,2892,2905,2902,2903.5,2.121320344
HANSSON Louise,Women's 100m Butterfly,3382,3457,3452,3454.5,3.535533906
HANSSON Sophie,Women's 100m Breaststroke,66.07,65.66,65.81,65.735,0.106066017
HAUGHEY Siobhan Bernadette,Women's 200m Freestyle,113.92,116.48,115.16,115.82,0.933380951
HONDA Tomoru,Men's 200m Butterfly,113.73,115.1,115.31,115.205,0.148492424
HUSKE Torri,Women's 100m Butterfly,3373,3389,3411,3400,15.55634919
HWANG Sunwoo,Men's 100m Freestyle,2902,2917,2876,2896.5,28.99137803
HWANG Sunwoo,Men's 200m Freestyle,105.26,104.62,105.53,105.075,0.643467171
IRIE Ryosuke,Men's 200m Backstroke,117.32,116.97,116.69,116.83,0.197989899
JACOBY Lydia,Women's 100m Breaststroke,64.95,65.52,65.72,65.62,0.141421356
KAMMINGA Arno,Men's 100m Breaststroke,3480,3500,3499,3499.5,0.707106781
KAMMINGA Arno,Men's 200m Breaststroke,127.01,127.37,127.99,127.68,0.438406204
KAWECKI Radoslaw,Men's 200m Backstroke,116.39,116.83,116.68,116.755,0.106066017
KENDERESI Tamas,Men's 200m Butterfly,114.52,115.18,115.17,115.175,0.007071068
KING Lilly,Women's 100m Breaststroke,65.54,65.55,65.4,65.475,0.106066017
KING Lilly,Women's 200m Breaststroke,139.92,142.1,142.27,142.185,0.120208153
KOLESNIKOV Kliment,Men's 100m Backstroke,3120,3135,3149,3142,9.899494937
KOLESNIKOV Kliment,Men's 100m Freestyle,2864,2909,2831,2870,55.15432893
KROMOWIDJOJO Ranomi,Women's 50m Freestyle,1470,1481,1469,1475,8.485281374
LARKIN Mitch,Men's 100m Backstroke,3199,3217,3196,3206.5,14.8492424
LAZOR Annie,Women's 200m Breaststroke,140.84,142.76,141.94,142.35,0.579827561
le CLOS Chad,Men's 200m Butterfly,114.93,115.96,115.06,115.51,0.636396103
LECLUYSE Fanny,Women's 200m Breaststroke,144.57,143.42,143.73,143.575,0.219203102
LEDECKY Kathleen,Women's 200m Freestyle,115.21,115.28,115.34,115.31,0.042426407
LIU Yaxin,Women's 200m Backstroke,128.48,128.36,128.65,128.505,0.205060967
MACNEIL Margaret,Women's 100m Butterfly,3359,3415,3416,3415.5,0.707106781
MAJERSKI Jakub,Men's 100m Butterfly,3092,3097,3084,3090.5,9.192388155
MALYUTIN Martin,Men's 200m Freestyle,105.01,105.5,105.45,105.475,0.035355339
MANAUDOU Florent,Men's 50m Freestyle,1315,1325,1313,1319,8.485281374
MARTINENGHI Nicolo,Men's 100m Breaststroke,3513,3548,3508,3528,28.28427125
MARTINEZ Luis Carlos,Men's 100m Butterfly,3069,3089,3090,3089.5,0.707106781
MASSE Kylie,Women's 100m Backstroke,3492,3497,3489,3493,5.656854249
MASSE Kylie,Women's 200m Backstroke,125.42,128.23,127.82,128.025,0.28991378
MATTSSON Matti,Men's 200m Breaststroke,127.13,128.44,128.22,128.33,0.155563492
Mc SHARRY Mona,Women's 100m Breaststroke,66.94,66.39,66.59,66.49,0.141421356
McKEON Emma,Women's 100m Butterfly,3372,3382,3393,3387.5,7.778174593
McKEON Emma,Women's 50m Freestyle,1461,1442,1440,1441,1.414213562
McKEOWN Kaylee,Women's 100m Backstroke,3467,3508,3491,3499.5,12.02081528
McKEOWN Kaylee,Women's 200m Backstroke,124.68,128.18,127.93,128.055,0.176776695
MEFFORD Bryce,Men's 200m Backstroke,115.49,116.37,116.37,116.37,0
MILADINOV Josif,Men's 100m Butterfly,3109,3088,3066,3077,15.55634919
MILAK Kristof,Men's 100m Butterfly,3008,3062,3031,3046.5,21.92031022
MILAK Kristof,Men's 200m Butterfly,111.25,113.58,112.22,112.9,0.961665222
MINAKOV Andrei,Men's 100m Butterfly,3088,3060,3071,3065.5,7.778174593
MIRESSI Alessandro,Men's 100m Freestyle,2906,2903,2872,2887.5,21.92031022
MURA Ryuya,Men's 200m Breaststroke,128.42,129,128.27,128.635,0.51618795
MURPHY Ryan,Men's 100m Backstroke,3139,3202,3144,3173,41.01219331
MURPHY Ryan,Men's 200m Backstroke,114.15,116.92,115.38,116.15,1.088944443
NEMETH Nandor,Men's 100m Freestyle,2890,2891,2901,2896,7.071067812
OLEKSIAK Penny,Women's 200m Freestyle,114.7,115.38,116.39,115.885,0.714177849
PEATY Adam,Men's 100m Breaststroke,3457,3476,3483,3479.5,4.949747468
PELLEGRINI Federica,Women's 200m Freestyle,115.91,117.33,116.44,116.885,0.629325035
PENG Xuwei,Women's 200m Backstroke,128.26,129.03,128.76,128.895,0.190918831
PERSSON Erik,Men's 200m Breaststroke,128.88,128.76,128.76,128.76,0
PONTI Noe,Men's 100m Butterfly,3074,3084,3076,3080,5.656854249
POPOVICI David,Men's 100m Freestyle,2884,2883,2892,2887.5,6.363961031
POPOVICI David,Men's 200m Freestyle,104.68,105.32,105.68,105.5,0.254558441
PROUD Benjamin,Men's 50m Freestyle,1332,1353,1327,1340,18.38477631
RAPSYS Danas,Men's 200m Freestyle,105.78,105.84,105.32,105.58,0.367695526
RENSHAW Molly,Women's 200m Breaststroke,142.65,142.99,142.7,142.845,0.205060967
RUCK Taylor,Women's 200m Backstroke,128.24,128.87,128.73,128.8,0.098994949
RYLOV Evgeny,Men's 100m Backstroke,3158,3202,3211,3206.5,6.363961031
RYLOV Evgeny,Men's 200m Backstroke,113.27,116.02,114.45,115.235,1.110157646
SCHEFFER Fernando,Men's 200m Freestyle,104.66,105.05,105.71,105.38,0.466690476
SCHOENMAKER Tatjana,Women's 100m Breaststroke,65.22,64.82,65.07,64.945,0.176776695
SCHOENMAKER Tatjana,Women's 200m Breaststroke,138.95,139.16,139.33,139.245,0.120208153
SCOTT Duncan,Men's 200m Freestyle,104.26,105.37,104.6,104.985,0.544472222
SEEBOHM Emily,Women's 100m Backstroke,3525,3566,3539,3552.5,19.09188309
SEEBOHM Emily,Women's 200m Backstroke,126.17,129.1,127.09,128.095,1.42128463
SEEMANOVA Barbora,Women's 200m Freestyle,115.45,116.38,116.14,116.26,0.169705627
SHKURDAI Anastasiya,Women's 100m Butterfly,3425,3459,3439,3449,14.14213562
SHYMANOVICH Ilya,Men's 100m Breaststroke,3576,3573,3548,3560.5,17.67766953
SJOESTROEM Sarah,Women's 100m Butterfly,3451,3378,3400,3389,15.55634919
SJOESTROEM Sarah,Women's 50m Freestyle,1447,1466,1453,1459.5,9.192388155
SMITH Kieran,Men's 200m Freestyle,105.12,106.2,105.07,105.635,0.799030663
SMITH Regan,Women's 100m Backstroke,3485,3516,3506,3511,7.071067812
STUBBLETY-COOK Izaac,Men's 200m Breaststroke,126.38,127.37,127.35,127.36,0.014142136
TELEGDY Adam,Men's 200m Backstroke,116.15,117.7,116.19,116.945,1.06773124
TEMPLE Matthew,Men's 100m Butterfly,3092,3099,3072,3085.5,19.09188309
TITMUS Ariarne,Women's 200m Freestyle,113.5,115.88,114.82,115.35,0.749533188
TOUSSAINT Kira,Women's 100m Backstroke,3551,3561,3549,3555,8.485281374
WASICK Katarzyna,Women's 50m Freestyle,1472,1471,1466,1468.5,3.535533906
WATTEL Marie,Women's 100m Butterfly,3387,3428,3376,3402,36.76955262
