Name,Event,Final,Heat,Semi,RoundsCompare,Time
RYLOV Evgeny,Men's 100m Backstroke,51.98S,53.22S,52.91S,SemitoFinal,0.017577017577017573
RYLOV Evgeny,Men's 100m Backstroke,51.98S,53.22S,52.91S,HeattoFinal,0.023299511461856482
KOLESNIKOV Kliment,Men's 100m Backstroke,52S,52.15S,52.29S,SemitoFinal,0.00554599349780071
KOLESNIKOV Kliment,Men's 100m Backstroke,52S,52.15S,52.29S,HeattoFinal,0.002876318312559896
MURPHY Ryan,Men's 100m Backstroke,52.19S,53.22S,52.24S,SemitoFinal,9.571209800919652e-4
MURPHY Ryan,Men's 100m Backstroke,52.19S,53.22S,52.24S,HeattoFinal,0.019353626456219488
CECCON Thomas,Men's 100m Backstroke,52.3S,52.49S,52.78S,SemitoFinal,0.009094353921940204
CECCON Thomas,Men's 100m Backstroke,52.3S,52.49S,52.78S,HeattoFinal,0.003619737092779669
XU Jiayu,Men's 100m Backstroke,52.51S,52.7S,52.94S,SemitoFinal,0.008122402720060441
XU Jiayu,Men's 100m Backstroke,52.51S,52.7S,52.94S,HeattoFinal,0.0036053130929792187
GONZALEZ Hugo,Men's 100m Backstroke,52.78S,53.45S,53.05S,SemitoFinal,0.005089538171536212
GONZALEZ Hugo,Men's 100m Backstroke,52.78S,53.45S,53.05S,HeattoFinal,0.012535079513564109
LARKIN Mitch,Men's 100m Backstroke,52.79S,52.97S,52.76S,SemitoFinal,-5.686125852919094e-4
LARKIN Mitch,Men's 100m Backstroke,52.79S,52.97S,52.76S,HeattoFinal,0.0033981498961676367
GLINTA Robert,Men's 100m Backstroke,52.95S,53.67S,53.2S,SemitoFinal,0.004699248120300752
GLINTA Robert,Men's 100m Backstroke,52.95S,53.67S,53.2S,HeattoFinal,0.013415315818893214
DRESSEL Caeleb,Men's 100m Butterfly,49.45S,50.39S,49.71S,SemitoFinal,0.005230335948501267
DRESSEL Caeleb,Men's 100m Butterfly,49.45S,50.39S,49.71S,HeattoFinal,0.018654494939472074
MILAK Kristof,Men's 100m Butterfly,49.68S,50.62S,50.31S,SemitoFinal,0.012522361359570713
MILAK Kristof,Men's 100m Butterfly,49.68S,50.62S,50.31S,HeattoFinal,0.01856973528249699
PONTI Noe,Men's 100m Butterfly,50.74S,51.24S,50.76S,SemitoFinal,3.940110323088263e-4
PONTI Noe,Men's 100m Butterfly,50.74S,51.24S,50.76S,HeattoFinal,0.00975800156128025
MINAKOV Andrei,Men's 100m Butterfly,50.88S,51S,51.11S,SemitoFinal,0.004500097828213596
MINAKOV Andrei,Men's 100m Butterfly,50.88S,51S,51.11S,HeattoFinal,0.002352941176470538
MAJERSKI Jakub,Men's 100m Butterfly,50.92S,50.97S,51.24S,SemitoFinal,0.006245120999219365
MAJERSKI Jakub,Men's 100m Butterfly,50.92S,50.97S,51.24S,HeattoFinal,9.809691975671408e-4
TEMPLE Matthew,Men's 100m Butterfly,50.92S,51.39S,51.12S,SemitoFinal,0.003912363067292562
TEMPLE Matthew,Men's 100m Butterfly,50.92S,51.39S,51.12S,HeattoFinal,0.009145748200038896
MARTINEZ Luis Carlos,Men's 100m Butterfly,51.09S,51.29S,51.3S,SemitoFinal,0.004093567251461866
MARTINEZ Luis Carlos,Men's 100m Butterfly,51.09S,51.29S,51.3S,HeattoFinal,0.003899395593682896
MILADINOV Josif,Men's 100m Butterfly,51.49S,51.28S,51.06S,SemitoFinal,-0.008421464943204067
MILADINOV Josif,Men's 100m Butterfly,51.49S,51.28S,51.06S,HeattoFinal,-0.004095163806552279
PEATY Adam,Men's 100m Breaststroke,57.37S,57.56S,57.63S,SemitoFinal,0.004511539128925995
PEATY Adam,Men's 100m Breaststroke,57.37S,57.56S,57.63S,HeattoFinal,0.0033009034051425436
KAMMINGA Arno,Men's 100m Breaststroke,58S,57.8S,58.19S,SemitoFinal,0.0032651658360542657
KAMMINGA Arno,Men's 100m Breaststroke,58S,57.8S,58.19S,HeattoFinal,-0.003460207612456797
MARTINENGHI Nicolo,Men's 100m Breaststroke,58.33S,58.68S,58.28S,SemitoFinal,-8.579272477693404e-4
MARTINENGHI Nicolo,Men's 100m Breaststroke,58.33S,58.68S,58.28S,HeattoFinal,0.005964553510565805
ANDREW Michael,Men's 100m Breaststroke,58.84S,58.62S,58.99S,SemitoFinal,0.002542803865061851
ANDREW Michael,Men's 100m Breaststroke,58.84S,58.62S,58.99S,HeattoFinal,-0.0037529853292392694
WILBY James,Men's 100m Breaststroke,58.96S,58.99S,59S,SemitoFinal,6.779661016949008e-4
WILBY James,Men's 100m Breaststroke,58.96S,58.99S,59S,HeattoFinal,5.085607730123942e-4
YAN Zibei,Men's 100m Breaststroke,58.99S,58.75S,58.72S,SemitoFinal,-0.004598092643051824
YAN Zibei,Men's 100m Breaststroke,58.99S,58.75S,58.72S,HeattoFinal,-0.004085106382978757
WILSON Andrew,Men's 100m Breaststroke,58.99S,59.03S,59.18S,SemitoFinal,0.003210544102737373
WILSON Andrew,Men's 100m Breaststroke,58.99S,59.03S,59.18S,HeattoFinal,6.776215483652236e-4
SHYMANOVICH Ilya,Men's 100m Breaststroke,59.36S,59.33S,59.08S,SemitoFinal,-0.004739336492891015
SHYMANOVICH Ilya,Men's 100m Breaststroke,59.36S,59.33S,59.08S,HeattoFinal,-5.056463846283691e-4
DRESSEL Caeleb,Men's 100m Freestyle,47.02S,47.73S,47.23S,SemitoFinal,0.004446326487401943
DRESSEL Caeleb,Men's 100m Freestyle,47.02S,47.73S,47.23S,HeattoFinal,0.014875340456735676
